거래소코드,회사명,회계년도,PEG
58820,(주)CMG제약,2011,0.0
58820,(주)CMG제약,2012,0.0
58820,(주)CMG제약,2013,14.256033287798124
58820,(주)CMG제약,2014,23.5571410343954
58820,(주)CMG제약,2015,0.0
58820,(주)CMG제약,2016,5.2024944146129695
58820,(주)CMG제약,2017,1.7525636110137286
58820,(주)CMG제약,2018,2.302341752263575
58820,(주)CMG제약,2019,14.268682385445574
590,CS홀딩스(주),2011,-0.5127397082194236
590,CS홀딩스(주),2012,-0.7495426118624969
590,CS홀딩스(주),2013,-0.9443285229238509
590,CS홀딩스(주),2014,-4.730850484050281
590,CS홀딩스(주),2015,0.0803094753223583
590,CS홀딩스(주),2016,-11.730158559867856
590,CS홀딩스(주),2017,-22.755000717248457
590,CS홀딩스(주),2018,-1.2390019381396256
590,CS홀딩스(주),2019,0.8716540256042414
10120,LS일렉트릭(주),2011,-2.484344445667697
10120,LS일렉트릭(주),2012,-1.1628150096600602
10120,LS일렉트릭(주),2013,-9.633833820824032
10120,LS일렉트릭(주),2014,1.2007716508291664
10120,LS일렉트릭(주),2015,-1.9301112290360198
10120,LS일렉트릭(주),2016,-1.189295962926924
10120,LS일렉트릭(주),2017,51.49542113626941
10120,LS일렉트릭(주),2018,0.8128189555154007
10120,LS일렉트릭(주),2019,0.5690572784238075
11070,LG이노텍(주),2011,
11070,LG이노텍(주),2012,
11070,LG이노텍(주),2013,
11070,LG이노텍(주),2014,1.6961416669796145
11070,LG이노텍(주),2015,1.2608326827903706
11070,LG이노텍(주),2016,5.443144872981002
11070,LG이노텍(주),2017,0.3952641137250293
11070,LG이노텍(주),2018,0.5410233074909183
11070,LG이노텍(주),2019,0.36732557469806243
1940,KISCO홀딩스(주),2011,
1940,KISCO홀딩스(주),2012,-0.33452421776593794
1940,KISCO홀딩스(주),2013,-0.6538548912480888
1940,KISCO홀딩스(주),2014,0.26057330313426097
1940,KISCO홀딩스(주),2015,0.3304482468025453
1940,KISCO홀딩스(주),2016,1.9779762114660595
1940,KISCO홀딩스(주),2017,2.645261717546114
1940,KISCO홀딩스(주),2018,-0.2663562088755743
1940,KISCO홀딩스(주),2019,-0.4715767715069473
16380,KG스틸(주),2011,-0.0
16380,KG스틸(주),2012,
16380,KG스틸(주),2013,
16380,KG스틸(주),2014,
16380,KG스틸(주),2015,-0.0
16380,KG스틸(주),2016,-0.0
