회계년도,거래소코드,PBR,PER,기업규모코드,매출액,매출액순이익률,매출액증가율,성장비용,영업손익,자기자본회전률,종가,주당순손익,총자본회전률,회사명,부채자본비율,현금흐름스코어,수익률,투자신호,PEG
2011,58820,2.21,0.0,20.0,17751704.0,-8.5,56.4,376118.0,640283.0,0.97,785.0,-35.0,0.66,(주)CMG제약,0.5061323613389489,1,69.42675159235668,1,0.0
2012,58820,2.555,0.0,20.0,16255389.0,-40.97,-8.43,401085.0,-4205503.0,0.66,1330.0,-138.0,0.39,(주)CMG제약,0.8032918872976665,1,-29.924812030075188,0,0.0
2013,58820,2.9450000000000003,375.055,20.0,20402140.0,1.45,25.51,243898.0,791250.0,0.51,932.0,0.0,0.36,(주)CMG제약,0.1409512513738268,0,-2.145922746781116,0,14.256033287798124
2014,58820,2.855,435.355,20.0,22752584.0,0.69,11.52,215128.0,442322.0,0.46,912.0,2.0,0.4,(주)CMG제약,0.1846465404199344,2,131.359649122807,1,23.5571410343954
2015,58820,5.915,0.0,20.0,27041894.0,-13.5,18.85,195671.0,-2572168.0,0.56,2110.0,-42.0,0.47,(주)CMG제약,0.2073545147437085,2,50.71090047393365,1,0.0
2016,58820,5.640000000000001,291.595,20.0,32969825.0,5.24,21.92,293082.0,1730753.0,0.45,3180.0,19.0,0.39,(주)CMG제약,0.0976408161460803,2,96.22641509433964,1,5.2024944146129695
2017,58820,7.43,236.83,20.0,41535588.0,6.83,25.98,543322.0,1558607.0,0.42,6240.0,26.0,0.38,(주)CMG제약,0.1186814071821986,2,-32.131410256410255,0,1.7525636110137286
2011,590,0.39,30.07,20.0,109045966.0,10.79,30.53,1839762.0,12311552.0,0.72,35400.0,7168.0,0.62,CS홀딩스(주),0.0508247069488053,2,-4.943502824858757,0,-0.5127397082194236
2012,590,0.31,43.620000000000005,30.0,103356782.0,6.34,-5.22,1797730.0,7734678.0,0.62,33650.0,5708.0,0.54,CS홀딩스(주),0.0506971013600305,0,7.429420505200595,1,-0.7495426118624969
2013,590,0.31,49.49,30.0,146122999.0,8.91,41.38,4279113.0,16898068.0,0.78,36150.0,0.0,0.69,CS홀딩스(주),0.0536389509536453,2,130.9820193637621,1,-0.9443285229238508
2014,590,0.46,52.64,30.0,141559850.0,10.15,-3.12,4559881.0,20997600.0,0.66,83500.0,0.0,0.57,CS홀딩스(주),0.0621559976772581,2,-5.029940119760479,0,-4.730850484050281
2015,590,0.605,9.285,30.0,138970755.0,21.3,-1.83,4517021.0,22697997.0,0.59,79300.0,0.0,0.51,CS홀딩스(주),0.063636935586236,2,1.7654476670870116,0,0.0803094753223583
